addr,gold
0x79718e5a9b9bfedaba73a0f9b298244573c22d0d,0.238719
0x1dbf74a4638d3155b142d81f37fbce28e8b0b8e5,0.236075
0x15bfba09ee7765b263e10617ba0077681e1872aa,0.235846
0x627b63da1391deac116397a09a6efc644375709e,0.234115
0x3a17eaf95bf743e19e3ac53ff2fe71a1a2f2d721,0.233751
0x5967748e9fea34620000417fe1b5dfe2cc7ec351,0.233488
0xf6571b2a3966319709befca66b25413eee848940,0.233015
0xcb1c0664ad5ac3e5992a5e021520e42b60e1cba8,0.230541
0x33982ed97cc9a2bb4d06e059b6aad66ecc1ecac1,0.229341
0xfcb6b92e6e5460a9f6d759988b04af1fc30d75f6,0.229341
0xd9165a6dbe6844ebae0c2f38e9f3d6c0ba873837,0.229341
0x953fee2b29738a4f9f70ab3fd3552430022e56bb,0.228101
0x37c6147483ef59420f5e6f2ba7a7411b5bdd2179,0.227780
0x8ae835143debfe89b50d8913114eafda33347a34,0.226492
0x0ddd7b1c4d715c433aacd80c964c45b62cccbdf9,0.224519
0x46e2d4f92b5a82b82a6f698a869d66e69b5fc9df,0.223097
0xab40412571e9b0cf9cf8d9014edda0687745fc57,0.223021
0x8857cbf7bb9d45da2969f24f950e00e07c975fc9,0.222484
0xbcb4c8386c097589e7825aaeb9e7c6295835f1d6,0.221152
0x0ad9fbf7aa4c95133dbef42f4cc347c001a6e678,0.220738
0x53e9ad192e73d0174f2d03ebd4df970ab2dbb9b8,0.220520
0xa491871ca536e7d1e8b21ea8b934d9bdb8a54c1a,0.220520
0x5a28fbaf5404fd2d2686e146cbc7e8f26021d960,0.220520
0xee8ceac399571782926dc6a1ddc62f119da49ba2,0.220520
0xdeaf42d4a2cc1dc14505ce4e4f59629aec253d75,0.220520
0xefc8d05a780e052d2969f3d268f05c0d7032ff76,0.218881
0x8bb647e93587b27422920166d08c640161b6684d,0.217213
0x0aa0c3ac0151c42537fdb3cb6a2f37b9251a6c6c,0.216277
0xf5f778fa365787570a97d2e4ef1f6da8ee124d2b,0.213185
0x3f67652b521ce80a51c58adf98526272f5057608,0.212546
0xb9df1ac065aba19fb4a23328784665b9b19dee31,0.211790
0x42a56cb55dd55a65786045ff5739f9f183d4e18e,0.210457
0xb3a40068e13c5c4177a6214aa792b6c3014fae3c,0.209948
0xe1db763570ce32d265b345f6dfcfe2e12d70a2a6,0.209946
0xa1b2d4591982cb6d4d11649c6aab666873390042,0.209628
0x398b7365eb843d7162b8d27ed711ab7d8abdb0ed,0.207598
0x8adb5c59106fc4373268ae5581183676ee527912,0.207146
0x3cc7b16209c6f5700d62e6e24ad8610023676c83,0.206671
